Unnamed: 0,csa_code_origin,csa_code_dest,CarrID,yearq,Segid,seg_entry_tplus1,Dist,Dist_sq,pop_origin,pop_dest,ln2002pssgrdens,seg_entry_t,nonstop_comps,orig_share,dest_share,any_origin,any_dest,scheduled_flights,fstseats,busseats,ecoseats,scheduled_aircraft_max_take_off_weight,scheduled_aircraft_hold_volume,scheduled_aircraft_range_stat_miles,capacity_t,capacity_tplus1
2368,4,28,4,15,198,0,0.269806466,0.072795529,5119641,1279132,13.37462447,1,2,0.01360412,0.044266215,1,1,3,0,38,166,187,114,7077,3,0
2515,4,40,7,15,210,1,0.821147314,0.674282911,5119641,820051,11.3210383,0,4,0.015537501,0.083082464,1,1,0,0,0,0,0,0,0,0,1
2539,4,42,7,15,212,0,0.545955116,0.298066989,5119641,1265707,12.9574109,1,3,0.015537501,0.017368558,1,1,4,0,0,185,116,48,4545,4,0
2552,4,43,8,15,213,0,2.169383956,4.706226748,5119641,2123960,11.50908811,1,8,0.297022775,0.196158818,1,1,2,0,0,185,151.5,81,5811,2,0
2560,4,44,4,15,214,1,0.665232236,0.442533928,5119641,5880912,13.51701692,0,4,0.01360412,0.020937007,1,1,0,0,0,0,0,0,0,0,0
2575,4,45,7,15,215,1,1.585670026,2.514349431,5119641,4046571,12.95550091,0,6,0.015537501,0.025862092,1,1,0,0,0,0,0,0,0,0,0
2591,4,46,11,15,216,1,0.527011241,0.277740848,5119641,2361482,12.97030717,0,3,0.000364672,0.315727245,1,1,0,0,0,0,0,0,0,0,0
2603,4,47,11,15,217,1,0.355113438,0.126105554,5119641,998979,13.25934058,0,2,0.000364672,0.080618458,1,1,0,0,0,0,0,0,0,0,0
2635,4,50,7,15,220,0,1.884388817,3.550921212,5119641,2947222,12.45683915,1,3,0.015537501,0.032558329,1,1,1,0,0,185,116,48,4545,1,0
2684,4,54,8,15,224,0,1.545263323,2.387838739,5119641,,12.27129375,1,2,0.297022775,0.051771032,1,1,0,0,0,0,0,0,0,0,0
2728,4,58,4,15,228,0,0.408366891,0.166763518,5119641,2684639,13.865617,1,3,0.01360412,0.067461411,1,1,0,0,0,0,0,0,0,0,0
2754,4,60,6,15,230,1,1.538464934,2.366874352,5119641,975476,11.138072,0,3,0.007650525,0.017651157,1,1,0,0,0,0,0,0,0,0,0
2768,5,6,8,15,231,1,1.599601151,2.558723842,1528958,1182625,7.538494999,0,0,0.173001403,0.174811376,1,1,0,0,0,0,0,0,0,0,0
2772,5,6,12,15,231,1,1.599601151,2.558723842,1528958,1182625,7.538494999,0,0,0.338465717,0.212840566,1,1,0,0,0,0,0,0,0,0,0
2777,5,7,5,15,232,0,0.680604854,0.463222968,1528958,1103572,3.526360525,1,1,0.037123442,0.130976032,1,1,0,0,0,0,0,0,0,0,0
2848,5,13,4,15,238,0,1.311983844,1.721301607,1528958,7927060,11.01652858,1,5,0.115522589,0.022875317,1,1,0,0,0,0,0,0,0,0,0
2884,5,16,4,15,241,0,1.070500578,1.145971488,1528958,1737170,6.723832441,1,3,0.115522589,0.036118208,1,1,0,0,0,0,0,0,0,0,0
2888,5,16,8,15,241,0,1.070500578,1.145971488,1528958,1737170,6.723832441,1,3,0.173001403,0.413562889,1,1,0,0,0,0,0,0,0,0,0
2892,5,16,12,15,241,0,1.070500578,1.145971488,1528958,1737170,6.723832441,1,3,0.338465717,0.247646663,1,1,0,0,0,0,0,0,0,0,0
2910,5,18,6,15,243,0,0.18402141,0.033863879,1528958,5999411,13.52325806,1,2,0.010914011,0.01546465,1,1,0,0,0,0,0,0,0,0,0
2911,5,18,7,15,243,1,0.18402141,0.033863879,1528958,5999411,13.52325806,0,2,0.017952314,0.012924379,1,1,0,0,0,0,0,0,0,0,0
2914,5,18,10,15,243,1,0.18402141,0.033863879,1528958,5999411,13.52325806,0,2,0.020111412,0.024599036,1,1,0,0,0,0,0,0,0,0,0
2941,5,21,1,15,246,0,0.525446682,0.276094216,1528958,720756,11.24415674,1,1,0.259933232,0.20105682,1,1,0,0,0,0,0,0,0,0,0
3020,5,27,8,15,252,1,0.917070205,0.841017761,1528958,1671898,5.877735782,0,1,0.173001403,0.455329932,1,1,0,0,0,0,0,0,0,0,0
